N,time,value
2,1.3000011444091798e-5,-2.236067977499755
3,2.6000261306762695e-5,-3.493959207434859
4,8.300065994262695e-5,-4.7587704831435955
5,0.000616001844406128,-6.026674183332267
6,0.0017510042190551757,-7.296229810558607
7,0.014627005100250244,-8.56677223350562
